epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,141648,0.33045,0.18736,0.81228,0.95979,0.95027,0.97352,0.79834,0.41382,0.19579,0.7638,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,144475,0.33756,0.18869,0.81289,0.95961,0.94582,0.97257,0.79887,0.41355,0.19926,0.7654,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,147304,0.33254,0.18771,0.81566,0.95855,0.94516,0.97246,0.79543,0.4154,0.19842,0.76582,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,150134,0.32404,0.18298,0.81104,0.96019,0.94745,0.97263,0.79986,0.40862,0.1961,0.76362,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,152966,0.3262,0.18441,0.81216,0.95916,0.94743,0.9731,0.79597,0.41456,0.1961,0.76513,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,155800,0.32581,0.1845,0.81407,0.95918,0.94374,0.97072,0.80131,0.40772,0.19054,0.76369,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,158624,0.32083,0.18209,0.81088,0.96026,0.94374,0.97132,0.79992,0.41072,0.19242,0.76359,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,161456,0.32496,0.18358,0.8102,0.95903,0.94427,0.97198,0.79885,0.41171,0.1949,0.76434,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,163458,0.32154,0.18149,0.8118,0.96197,0.93996,0.97206,0.80028,0.41005,0.19135,0.76318,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,165327,0.32224,0.18187,0.80901,0.9596,0.94551,0.97159,0.79768,0.41004,0.19276,0.76348,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,167197,0.32129,0.17895,0.80984,0.95842,0.94321,0.97227,0.7983,0.41032,0.19157,0.76309,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,169651,0.31511,0.17819,0.81048,0.95655,0.94649,0.97171,0.80005,0.40617,0.19008,0.76289,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,172326,0.31581,0.17758,0.80844,0.95713,0.94958,0.97161,0.80079,0.40682,0.18886,0.76218,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,174917,0.31676,0.17708,0.80804,0.95943,0.94533,0.9709,0.79728,0.41363,0.19286,0.7638,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
